iso3,country,year,ln_pm25,ln_energy,ln_industry,ln_transport
AUT,Austria,2010,2.910025829892361,10.217236221278998,10.009193592643506,10.713316050305725
AUT,Austria,2013,2.766455823971084,9.990649240186878,9.970591384510907,10.728108522337148
AUT,Austria,2014,2.5734515725172646,9.830449819472186,9.933349367117223,10.69745503652095
AUT,Austria,2015,2.6179127308494494,9.942370779901333,9.921354668722879,10.718529420537514
AUT,Austria,2016,2.496811693179065,9.921336252551242,9.953859893451185,10.754432713215406
AUT,Austria,2017,2.5317214622608755,9.97968726736284,9.975742164027519,10.784825520749667
AUT,Austria,2018,2.607349593083341,9.897911186969726,9.985969447433858,10.789578399174943
AUT,Austria,2019,2.405760365603669,9.901346740131629,9.992264872330493,10.791553166909738
BEL,Belgium,2010,2.816714344676181,10.85967339126285,10.368627244808032,10.88259112341458
BEL,Belgium,2013,2.6953026282797072,10.644217013543779,10.263246153513672,10.815651977101579
BEL,Belgium,2014,2.499410335990382,10.59596277138036,10.223556067915782,10.825474310011566
BEL,Belgium,2015,2.5358934736071324,10.63126640625152,10.222457877469825,10.889789264355555
BEL,Belgium,2016,2.5215197995342007,10.566485589649945,10.218531305737388,10.879335355137952
BEL,Belgium,2017,2.4939417965983943,10.57372565870545,10.227570053094599,10.85834968661452
BEL,Belgium,2018,2.529862311145409,10.571400808772937,10.2464608290303,10.865421605506253
BEL,Belgium,2019,2.3911024276585544,10.636498358287113,10.234306212769308,10.85691486611576
BGR,Bulgaria,2010,3.171679390037226,11.043267234307534,8.746039312925648,9.672385935901692
BGR,Bulgaria,2013,2.993515532684146,10.894086973947495,8.562278896828927,9.60094082718023
BGR,Bulgaria,2014,3.078956727287667,10.957860493867145,8.542879476004684,9.725478144450713
BGR,Bulgaria,2015,3.1766361592603247,10.992399059232824,8.644245454740538,9.814298404286783
BGR,Bulgaria,2016,2.956367550031714,10.870882359516994,8.661852343729691,9.825376041983777
BGR,Bulgaria,2017,2.9737787633381187,10.91862166854509,8.87639860581234,9.840249636977656
BGR,Bulgaria,2018,2.9747274953924956,10.756933495884146,9.048524934969528,9.862640303009467
BGR,Bulgaria,2019,2.805695315162324,10.713957199151004,9.008756249466536,9.878780213562324
HRV,Croatia,2013,3.135711583607432,9.259096783195037,8.46182261303386,9.336025499260897
HRV,Croatia,2014,2.9975639283829607,9.159844649969521,8.436326773253011,9.325965048940219
HRV,Croatia,2015,2.747671475045946,9.154821104941973,8.392248665897032,9.379309273360976
HRV,Croatia,2016,2.84922820962543,9.181988757420289,8.39596860641684,9.415699720053158
HRV,Croatia,2017,2.743996327875679,9.100166146764334,8.480794196828018,9.488728477758189
HRV,Croatia,2018,2.752226563435039,8.96757426135258,8.474643206864117,9.453151950155792
HRV,Croatia,2019,2.6184901243895666,8.96075111658555,8.477531255018295,9.480551254139167
CYP,Cyprus,2010,2.9981293981537123,8.955240853126677,7.198070399418608,8.46261849595827
CYP,Cyprus,2013,2.7699602708860893,8.642699271442956,6.983090026196671,8.247732672184885
CYP,Cyprus,2014,2.7851346914082993,8.681036262751133,7.212830954359574,8.212030371777187
CYP,Cyprus,2015,2.7697095814889376,8.70875406727847,7.080805901497463,8.245474448324375
CYP,Cyprus,2016,2.4429265775471176,8.796451885619126,7.082067202467309,8.305605602031521
CYP,Cyprus,2017,2.6191461249962034,8.792773302141418,7.111743867780047,8.336627138423406
CYP,Cyprus,2018,2.5604778366350742,8.809201201492838,6.991061921911307,8.342266306519724
CYP,Cyprus,2019,2.5668705876394307,8.790989147472095,7.00689124929005,8.354877798850474
CZE,Czechia,2010,3.1618115242465232,11.728604412522275,10.091429260817316,10.416419764386546
CZE,Czechia,2013,3.0036074329254654,11.609542030263139,9.924509161082492,10.38074431565795
CZE,Czechia,2014,2.9638753487796006,11.583218330472013,9.871306629729224,10.411893491324154
CZE,Czechia,2015,2.8874043966683627,11.581289876577634,9.885439645437591,10.455814123130084
CZE,Czechia,2016,2.9158398813798994,11.595451389583847,9.858654951273627,10.493310963251481
CZE,Czechia,2017,2.931070667918757,11.580899729613328,9.94466070891184,10.520757857739778
CZE,Czechia,2018,3.0158712533507592,11.567522092480289,9.920469701117153,10.530972117734589
CZE,Czechia,2019,2.7268547384530284,11.493851338932558,9.875901402526157,10.540245137492573
DNK,Denmark,2010,2.7138113515372817,10.775007466037469,9.11901689559857,10.184308908627903
DNK,Denmark,2013,2.403561010334048,10.545797963169582,8.963527304779635,10.09897141158933
DNK,Denmark,2014,2.5847519847577165,10.34278416041084,8.962562450875456,10.107747286007445
DNK,Denmark,2015,2.4209605457293666,10.151740879367374,8.950796968935403,10.122451144379124
DNK,Denmark,2016,2.331172549845958,10.239066158917321,8.97389465535765,10.143743058845963
DNK,Denmark,2017,2.241347783522856,10.044014866287702,8.992938550338422,10.15818862809232
DNK,Denmark,2018,2.5032376064727235,10.0360762823061,8.994493619158632,10.177204064179595
DNK,Denmark,2019,2.3264969130403585,9.75465981708714,8.935652879075564,10.161693013077397
EST,Estonia,2010,2.044677549243496,10.3090026207296,7.335970548489622,8.451757147625683
EST,Estonia,2013,1.8939721785951504,10.310694060194255,7.489167861402735,8.45130484447358
EST,Estonia,2014,2.016045225121042,10.273464163885366,7.386804547793042,8.456525628177832
EST,Estonia,2015,1.8503427933269523,10.071376290894353,7.066104003248555,8.488443054596656
EST,Estonia,2016,1.6494824619651591,10.198152685692634,7.109350597757465,8.512244285758824
EST,Estonia,2017,1.5151272329628591,10.271098734478647,7.049296880302739,8.553186365124658
