,Coefficient,Std_Error,t_Stat,P_value,Lower_95%,Upper_95%
const,-0.39231325838562675,0.08680560361638737,-4.519446234362282,8.001464937651283e-06,-0.5629238067360368,-0.2217027100352167
z,0.6680345649170227,0.10084305520537597,6.6244974783490065,1.0312950921064502e-10,0.4698343539957097,0.8662347758383357
z_sq,0.13511709475828831,0.1075300678813606,1.2565517479944759,0.209590344218747,-0.07622598772829431,0.34646017724487094
