,Coefficient,Std_Error,t_Stat,P_value,Lower_95%,Upper_95%
const,2.680093046499421,0.06862145317671162,39.05619776948963,0.0,2.545594789916189,2.8145913030826533
ln_pm25,0.6979712175881624,0.02290064962039262,30.478227873790594,1.7160913090791374e-202,0.65308587479843,0.7428565603778947
