country,year,pm25,iso3,total_emissions_kt_unfccc,ln_pm25,ln_total_unfccc
Greece,2010,14.86,GRC,1355334.68096,2.698673039289613,14.119558978815647
Greece,2013,10.02,GRC,1163158.96927,2.3045830956567186,13.966650111127901
Greece,2015,18.845,GRC,1071502.48471,2.9362476267190987,13.884572412801154
Greece,2016,17.05142857142857,GRC,1022951.54843,2.836233987400137,13.838202681573623
Greece,2017,16.45875,GRC,1074609.4472999999,2.8008572506884164,13.8874678486955
Greece,2018,16.599999999999998,GRC,1031902.93591,2.8094026953624973,13.846915166249483
Greece,2019,16.838,GRC,956344.9875,2.8236382369154724,13.770873992522986
