Model,R2,Adj_R2,N,Intercept,Coef_ln_total_emissions_kt,P_ln_total_emissions_kt,Coef_ln_pm25,P_ln_pm25,Coef_ln_total_unfccc,P_ln_total_unfccc
ModelA_Emissions_PM25,0.0016518960796322313,-0.0019522486998637678,279,2.3577103672316797,0.009789362206048022,0.4989693703241236,,,,
ModelB_PM25_DALY,0.28727588102718826,0.2735696479700188,54,2.024491405664706,,,2.3502370701041526,2.954879836910241e-05,,
ModelC_UNFCCC_PM25,0.03422689300120818,0.030134634073247235,238,1.712533400179246,,,,,0.058313478225750996,0.004185174070957231
ModelF_Greece_UNFCCC_PM25,0.20033130710611513,0.04039756852733822,7,14.10557226702366,,,,,-0.8172428717847948,0.31392300797474065
