iso3,year,country,pm25,total_emissions_kt_unfccc,ln_pm25,ln_total_unfccc
AUT,2010,Austria,18.35727272727273,986259.96141,2.910025829892361,13.801675251380187
AUT,2013,Austria,15.902173913043478,987834.56434,2.766455823971084,13.803270517709526
AUT,2014,Austria,13.110999999999999,902359.21713,2.5734515725172646,13.712767964921417
AUT,2015,Austria,13.707083333333332,976954.50176,2.6179127308494494,13.792195360605836
AUT,2016,Austria,12.143714285714287,958108.38168,2.496811693179065,13.772716183831573
AUT,2017,Austria,12.575135135135136,1017618.88705,2.5317214622608755,13.83297603178294
AUT,2018,Austria,13.563055555555556,1034042.97603,2.607349593083341,13.84898689607848
AUT,2019,Austria,11.086857142857143,1081371.86218,2.405760365603669,13.893741035783863
BEL,2010,Belgium,16.721818181818183,1638986.5069,2.816714344676181,14.30958862517225
BEL,2013,Belgium,14.81,1471943.56213,2.6953026282797072,14.202094236591632
BEL,2014,Belgium,12.1753125,1391411.89035,2.499410335990382,14.145829538036716
BEL,2015,Belgium,12.627708333333333,1454961.4981,2.5358934736071324,14.190489996450669
BEL,2016,Belgium,12.4475,1450151.21764,2.5215197995342007,14.187178396986726
BEL,2017,Belgium,12.10891304347826,1456598.85476,2.4939417965983943,14.19161472452371
BEL,2018,Belgium,12.55177777777778,1491893.0913,2.529862311145409,14.215556402553863
BEL,2019,Belgium,10.925531914893616,1468947.66251,2.3911024276585544,14.200056826549915
BGR,2010,Bulgaria,23.8475,564882.02312,3.171679390037226,13.24437217968785
BGR,2013,Bulgaria,19.955714285714286,541218.64366,2.993515532684146,13.201578623428958
BGR,2014,Bulgaria,21.735714285714288,565957.56242,3.078956727287667,13.246274376317787
BGR,2015,Bulgaria,23.966,607862.9779,3.1766361592603247,13.317704770253677
BGR,2016,Bulgaria,19.228,560591.97724,2.956367550031714,13.236748606586518
BGR,2017,Bulgaria,19.565714285714286,585579.23571,2.9737787633381187,13.280356782855092
BGR,2018,Bulgaria,19.584285714285716,540698.80324,2.9747274953924956,13.200617662014587
BGR,2019,Bulgaria,16.538571428571426,529108.6464,2.805695315162324,13.17894907047104
CHE,2011,Switzerland,14.577777777777776,606867.80679,2.679498299173769,13.316066265088274
CHE,2012,Switzerland,12.733333333333333,648284.08776,2.54422322694442,13.382084286299161
CHE,2013,Switzerland,14.046153846153846,661044.41025,2.6423486106993312,13.401576303036823
CHE,2014,Switzerland,8.977777777777778,582600.5870299999,2.1947523881908304,13.27525713111081
CHE,2015,Switzerland,11.447333333333335,618303.29655,2.437756806223501,13.334734387167575
CHE,2016,Switzerland,10.223749999999999,589524.75776,2.324713445067047,13.287071995974198
CHE,2017,Switzerland,11.481851851851852,589959.47361,2.440767689019099,13.287809124726108
CHE,2018,Switzerland,11.253684210526316,597909.91188,2.4206955604189133,13.301195372553964
CHE,2019,Switzerland,9.358064516129033,561785.50643,2.236238486642212,13.238875394868089
CHE,2020,Switzerland,9.084821428571429,529583.84522,2.2066050460216555,13.179846779401016
CYP,2010,Cyprus,20.048,112278.91258999999,2.9981293981537123,11.628741345623078
CYP,2013,Cyprus,15.957999999999998,93353.48320999999,2.7699602708860893,11.444148461717766
CYP,2014,Cyprus,16.201999999999998,96941.25468,2.7851346914082993,11.481860452166858
CYP,2015,Cyprus,15.953999999999999,97915.39146,2.7697095814889376,11.491859032300358
CYP,2016,Cyprus,11.506666666666668,105133.74842,2.4429265775471176,11.562988613027942
CYP,2017,Cyprus,13.724,106255.40177,2.6191461249962034,11.57360092568258
CYP,2018,Cyprus,12.941999999999998,105399.74762,2.5604778366350742,11.56551552058938
CYP,2019,Cyprus,13.025,104622.70233,2.5668705876394307,11.558115846547047
CZE,2010,Czechia,23.613333333333337,1587317.2432,3.1618115242465232,14.277555880728192
CZE,2013,Czechia,20.158125000000002,1464146.07843,3.0036074329254654,14.196782748874027
CZE,2014,Czechia,19.37290322580645,1439633.62881,2.9638753487796006,14.179899214743296
CZE,2015,Czechia,17.946666666666665,1453693.07394,2.8874043966683627,14.189617823967488
CZE,2016,Czechia,18.464313725490197,1488588.79996,2.9158398813798994,14.213339115004862
CZE,2017,Czechia,18.747692307692308,1518278.87066,2.931070667918757,14.23308792932742
CZE,2018,Czechia,20.40686274509804,1539685.80937,3.0158712533507592,14.247088933685312
CZE,2019,Czechia,15.284736842105264,1531453.82499,2.7268547384530284,14.241728054614349
DEU,2010,Germany,17.34602409638554,11056368.7355,2.853363321422232,16.218517176052465
DEU,2013,Germany,14.110733944954127,11095827.90542,2.6469357804548266,16.222079731251267
DEU,2014,Germany,14.033461538461538,10691080.28642,2.6414445877358497,16.184920333687764
DEU,2015,Germany,12.6825,10776837.35681,2.5402230904587078,16.192909699770738
DEU,2016,Germany,12.198529411764707,10773748.34433,2.5013154044543926,16.192623024267437
DEU,2017,Germany,12.078344827586207,10560603.71922,2.491414165534979,16.172641004988908
DEU,2018,Germany,12.579533333333334,10874122.77833,2.532071154664775,16.201896467623893
DEU,2019,Germany,10.363333333333333,10153850.86635,2.338273935402553,16.133363587199227
DNK,2010,Denmark,15.086666666666666,762948.6847,2.7138113515372817,13.544946053352211
DNK,2013,Denmark,11.0625,653231.83837,2.403561010334048,13.389687381036945
DNK,2014,Denmark,13.26,607783.76009,2.5847519847577165,13.317574439940378
DNK,2015,Denmark,11.256666666666666,570487.83292,2.4209605457293666,13.254247121010392
DNK,2016,Denmark,10.29,601872.35796,2.331172549845958,13.30780067184265
DNK,2017,Denmark,9.406,574308.00966,2.241347783522856,13.26092113357735
