country,year,pm25,iso3,total_emissions_kt_unfccc,ln_pm25,ln_total_unfccc
Austria,2010,18.35727272727273,AUT,986259.96141,2.910025829892361,13.801675251380187
Austria,2013,15.902173913043478,AUT,987834.56434,2.766455823971084,13.803270517709526
Austria,2014,13.110999999999999,AUT,902359.21713,2.5734515725172646,13.712767964921417
Austria,2015,13.707083333333332,AUT,976954.50176,2.6179127308494494,13.792195360605836
Austria,2016,12.143714285714287,AUT,958108.38168,2.496811693179065,13.772716183831573
Austria,2017,12.575135135135136,AUT,1017618.88705,2.5317214622608755,13.83297603178294
Austria,2018,13.563055555555556,AUT,1034042.97603,2.607349593083341,13.84898689607848
Austria,2019,11.086857142857143,AUT,1081371.86218,2.405760365603669,13.893741035783863
Belgium,2010,16.721818181818183,BEL,1638986.5069,2.816714344676181,14.30958862517225
Belgium,2013,14.81,BEL,1471943.56213,2.6953026282797072,14.202094236591632
Belgium,2014,12.1753125,BEL,1391411.89035,2.499410335990382,14.145829538036716
Belgium,2015,12.627708333333333,BEL,1454961.4981,2.5358934736071324,14.190489996450669
Belgium,2016,12.4475,BEL,1450151.21764,2.5215197995342007,14.187178396986726
Belgium,2017,12.10891304347826,BEL,1456598.85476,2.4939417965983943,14.19161472452371
Belgium,2018,12.55177777777778,BEL,1491893.0913,2.529862311145409,14.215556402553863
Belgium,2019,10.925531914893616,BEL,1468947.66251,2.3911024276585544,14.200056826549915
Bulgaria,2010,23.8475,BGR,564882.02312,3.171679390037226,13.24437217968785
Bulgaria,2013,19.955714285714286,BGR,541218.64366,2.993515532684146,13.201578623428958
Bulgaria,2014,21.735714285714288,BGR,565957.56242,3.078956727287667,13.246274376317787
Bulgaria,2015,23.966,BGR,607862.9779,3.1766361592603247,13.317704770253677
Bulgaria,2016,19.228,BGR,560591.97724,2.956367550031714,13.236748606586518
Bulgaria,2017,19.565714285714286,BGR,585579.23571,2.9737787633381187,13.280356782855092
Bulgaria,2018,19.584285714285716,BGR,540698.80324,2.9747274953924956,13.200617662014587
Bulgaria,2019,16.538571428571426,BGR,529108.6464,2.805695315162324,13.17894907047104
Croatia,2013,23.005,HRV,252787.15945,3.135711583607432,12.440303146649942
Croatia,2014,20.036666666666665,HRV,244612.38206,2.9975639283829607,12.407430122622005
Croatia,2015,15.60625,HRV,254743.9113,2.747671475045946,12.448014050112397
Croatia,2016,17.274444444444445,HRV,259743.62813,2.84922820962543,12.467450377880994
Croatia,2017,15.549000000000001,HRV,276960.39494,2.743996327875679,12.53162979639111
Croatia,2018,15.6775,HRV,261317.09366,2.752226563435039,12.473489867126423
Croatia,2019,13.715,HRV,263140.46898,2.6184901243895666,12.480443271163434
Cyprus,2010,20.048,CYP,112278.91258999999,2.9981293981537123,11.628741345623078
Cyprus,2013,15.957999999999998,CYP,93353.48320999999,2.7699602708860893,11.444148461717766
Cyprus,2014,16.201999999999998,CYP,96941.25468,2.7851346914082993,11.481860452166858
Cyprus,2015,15.953999999999999,CYP,97915.39146,2.7697095814889376,11.491859032300358
Cyprus,2016,11.506666666666668,CYP,105133.74842,2.4429265775471176,11.562988613027942
Cyprus,2017,13.724,CYP,106255.40177,2.6191461249962034,11.57360092568258
Cyprus,2018,12.941999999999998,CYP,105399.74762,2.5604778366350742,11.56551552058938
Cyprus,2019,13.025,CYP,104622.70233,2.5668705876394307,11.558115846547047
Czechia,2010,23.613333333333337,CZE,1587317.2432,3.1618115242465232,14.277555880728192
Czechia,2013,20.158125000000002,CZE,1464146.07843,3.0036074329254654,14.196782748874027
Czechia,2014,19.37290322580645,CZE,1439633.62881,2.9638753487796006,14.179899214743296
Czechia,2015,17.946666666666665,CZE,1453693.07394,2.8874043966683627,14.189617823967488
Czechia,2016,18.464313725490197,CZE,1488588.79996,2.9158398813798994,14.213339115004862
Czechia,2017,18.747692307692308,CZE,1518278.87066,2.931070667918757,14.23308792932742
Czechia,2018,20.40686274509804,CZE,1539685.80937,3.0158712533507592,14.247088933685312
Czechia,2019,15.284736842105264,CZE,1531453.82499,2.7268547384530284,14.241728054614349
Denmark,2010,15.086666666666666,DNK,762948.6847,2.7138113515372817,13.544946053352211
Denmark,2013,11.0625,DNK,653231.83837,2.403561010334048,13.389687381036945
Denmark,2014,13.26,DNK,607783.76009,2.5847519847577165,13.317574439940378
Denmark,2015,11.256666666666666,DNK,570487.83292,2.4209605457293666,13.254247121010392
Denmark,2016,10.29,DNK,601872.35796,2.331172549845958,13.30780067184265
Denmark,2017,9.406,DNK,574308.00966,2.241347783522856,13.26092113357735
Denmark,2018,12.222,DNK,589193.02773,2.5032376064727235,13.286509130048458
Denmark,2019,10.242,DNK,537397.15623,2.3264969130403585,13.194492683430138
Estonia,2010,7.726666666666667,EST,222649.12443,2.044677549243496,12.313352378247169
Estonia,2013,6.645714285714286,EST,265963.46523000003,1.8939721785951504,12.491114229571233
Estonia,2014,7.508571428571429,EST,262601.41413,2.016045225121042,12.478392625946768
Estonia,2015,6.362,EST,230862.20989,1.8503427933269523,12.349576317547934
Estonia,2016,5.204285714285715,EST,259199.84464,1.6494824619651591,12.465354644077362
Estonia,2017,4.55,EST,274523.58127,1.5151272329628591,12.522792442507928
Estonia,2018,6.095714285714286,EST,279653.38517,1.8075859481445953,12.541306205200605
Estonia,2019,4.5975,EST,207510.74401,1.5255126774963392,12.242938395673884
Finland,2010,8.529166666666667,FIN,862256.91674,2.143491662319298,13.66730855250075
Finland,2013,6.407692307692307,FIN,761271.9808,1.8574991917112602,13.542745972203502
