iso3,country,year,ln_pm25,ln_total_emissions_lag1
AUT,Austria,2013,2.766455823971084,11.456897469449027
AUT,Austria,2014,2.5734515725172646,11.394478722934485
AUT,Austria,2015,2.6179127308494494,11.331891151722692
AUT,Austria,2016,2.496811693179065,11.366035997433523
AUT,Austria,2017,2.5317214622608755,11.387709297410442
AUT,Austria,2018,2.607349593083341,11.42261439211255
AUT,Austria,2019,2.405760365603669,11.408907847887017
BEL,Belgium,2013,2.6953026282797072,11.828620401749117
BEL,Belgium,2014,2.499410335990382,11.69860037847355
BEL,Belgium,2015,2.5358934736071324,11.67677060365371
BEL,Belgium,2016,2.5215197995342007,11.716272276918124
BEL,Belgium,2017,2.4939417965983943,11.689285405507588
BEL,Belgium,2018,2.529862311145409,11.684485391333995
BEL,Belgium,2019,2.3911024276585544,11.691246899431832
BGR,Bulgaria,2013,2.993515532684146,11.346640751210806
BGR,Bulgaria,2014,3.078956727287667,11.210011027796002
BGR,Bulgaria,2015,3.1766361592603247,11.280643819664164
BGR,Bulgaria,2016,2.956367550031714,11.331302862650674
BGR,Bulgaria,2017,2.9737787633381187,11.250223115498443
BGR,Bulgaria,2018,2.9747274953924956,11.303808417941749
BGR,Bulgaria,2019,2.805695315162324,11.220699188444842
CHE,Switzerland,2012,2.54422322694442,10.822892804652925
CHE,Switzerland,2013,2.6423486106993312,10.829172438843838
CHE,Switzerland,2014,2.1947523881908304,10.832358357823809
CHE,Switzerland,2015,2.437756806223501,10.807416457704852
CHE,Switzerland,2016,2.324713445067047,10.759672631206339
CHE,Switzerland,2017,2.440767689019099,10.757179733965469
CHE,Switzerland,2018,2.4206955604189133,10.741797450862588
CHE,Switzerland,2019,2.236238486642212,10.73863557118575
CHE,Switzerland,2020,2.2066050460216555,10.73413787870082
CYP,Cyprus,2013,2.7699602708860893,9.533849044233943
CYP,Cyprus,2014,2.7851346914082993,9.265378832914163
CYP,Cyprus,2015,2.7697095814889376,9.299439637558685
CYP,Cyprus,2016,2.4429265775471176,9.310634649594979
CYP,Cyprus,2017,2.6191461249962034,9.379886118715747
CYP,Cyprus,2018,2.5604778366350742,9.391556734935026
CYP,Cyprus,2019,2.5668705876394307,9.390996856639944
CZE,Czechia,2013,3.0036074329254654,12.109612893235518
CZE,Czechia,2014,2.9638753487796006,12.000287700191317
CZE,Czechia,2015,2.8874043966683627,11.982314123410175
CZE,Czechia,2016,2.9158398813798994,11.992035181976894
CZE,Czechia,2017,2.931070667918757,12.006396755151988
CZE,Czechia,2018,3.0158712533507592,12.013407618104734
CZE,Czechia,2019,2.7268547384530284,12.00402907547904
DEU,Germany,2013,2.6469357804548266,14.046906904005402
DEU,Germany,2014,2.6414445877358497,14.062830834628743
DEU,Germany,2015,2.5402230904587078,14.028723557975779
DEU,Germany,2016,2.5013154044543926,14.035213200054482
DEU,Germany,2017,2.491414165534979,14.035477167811823
DEU,Germany,2018,2.532071154664775,14.009090006816173
DEU,Germany,2019,2.338273935402553,13.978075504514749
DNK,Denmark,2013,2.403561010334048,11.331672074843079
DNK,Denmark,2014,2.5847519847577165,11.158365461966403
DNK,Denmark,2015,2.4209605457293666,11.056745456646034
DNK,Denmark,2016,2.331172549845958,10.972421229319139
DNK,Denmark,2017,2.241347783522856,11.023547470135176
DNK,Denmark,2018,2.5032376064727235,10.948438742269936
DNK,Denmark,2019,2.3264969130403585,10.954152424698217
ESP,Spain,2011,2.5488373473493535,12.969808213893698
ESP,Spain,2012,2.5334700308744784,12.989822182258145
ESP,Spain,2013,2.1337459231910496,12.974428591313062
ESP,Spain,2014,2.1364284730534466,12.868086005099727
ESP,Spain,2015,2.25095296322884,12.868484707375304
ESP,Spain,2016,2.123268108856751,12.945080844258872
ESP,Spain,2017,2.256563917720921,12.895981931964014
ESP,Spain,2018,2.1990150881100075,12.965501147699563
ESP,Spain,2019,2.19385009584619,12.931309044224369
EST,Estonia,2013,1.8939721785951504,10.497347680179177
EST,Estonia,2014,2.016045225121042,10.505670853430582
EST,Estonia,2015,1.8503427933269523,10.470908062807027
EST,Estonia,2016,1.6494824619651591,10.29842984989244
EST,Estonia,2017,1.5151272329628591,10.405843492075526
EST,Estonia,2018,1.8075859481445953,10.469394924881273
EST,Estonia,2019,1.5255126774963392,10.42316169820846
FIN,Finland,2013,1.8574991917112602,11.577398147377979
FIN,Finland,2014,2.0293693060078475,11.343931192559475
FIN,Finland,2015,1.740340853704931,11.253438087831114
FIN,Finland,2016,1.7452167775991023,11.159263044394395
FIN,Finland,2017,1.5069304657586804,11.231787833538366
FIN,Finland,2018,1.7945760118658314,11.166277227044386
FIN,Finland,2019,1.6692779127901174,11.207477405956844
FRA,France,2014,2.199444334074532,13.115699344338125
FRA,France,2015,2.545183329991853,13.002690708707958
FRA,France,2016,2.4487236369882375,13.017187938041051
FRA,France,2017,2.3949090001395534,13.032741013640695
FRA,France,2018,2.3392656003060557,13.040249583969194
FRA,France,2019,2.242639927794675,12.985925118082182
GRC,Greece,2013,2.3045830956567186,11.998051888892839
GRC,Greece,2015,2.9362476267190987,11.862349416920635
GRC,Greece,2016,2.836233987400137,11.743785288019524
GRC,Greece,2017,2.8008572506884164,11.687863643671088
GRC,Greece,2018,2.8094026953624973,11.738778787854962
GRC,Greece,2019,2.8236382369154724,11.70459148471051
HRV,Croatia,2014,2.9975639283829607,10.187521803394366
HRV,Croatia,2015,2.747671475045946,10.14033316242102
HRV,Croatia,2016,2.84922820962543,10.15477144112848
HRV,Croatia,2017,2.743996327875679,10.182228624352078
