,Coefficient,Std_Error,t_Stat,P_value
ln_energy,0.08328785750897842,0.05788347733682044,1.438888286277817,0.15178534286031664
ln_industry,0.15867677095336435,0.10649293994458202,1.4900215078665153,0.1378342660545453
ln_transport,0.002624556105440664,0.2044575815401502,0.012836677836401331,0.9897712178384566
