country,year,pm25,iso3,energy_emissions,industry_emissions,transport_emissions,ln_pm25,ln_energy,ln_industry,ln_transport
Austria,2010,18.35727272727273,AUT,27370.9147,22229.901869999998,44950.44997,2.910025829892361,10.217236221278998,10.009193592643506,10.713316050305725
Austria,2013,15.902173913043478,AUT,21821.46157,21388.13022,45620.32055,2.766455823971084,9.990649240186878,9.970591384510907,10.728108522337148
Austria,2014,13.110999999999999,AUT,18591.31508,20606.243,44243.11462,2.5734515725172646,9.830449819472186,9.933349367117223,10.69745503652095
Austria,2015,13.707083333333332,AUT,20792.98148,20360.55376,45185.40523,2.6179127308494494,9.942370779901333,9.921354668722879,10.718529420537514
Austria,2016,12.143714285714287,AUT,20360.178799999998,21033.25201,46837.18479,2.496811693179065,9.921336252551242,9.953859893451185,10.754432713215406
Austria,2017,12.575135135135136,AUT,21583.56161,21498.57997,48282.55145,2.5317214622608755,9.97968726736284,9.975742164027519,10.784825520749667
Austria,2018,13.563055555555556,AUT,19888.783069999998,21719.58023,48512.57876,2.607349593083341,9.897911186969726,9.985969447433858,10.789578399174943
Austria,2019,11.086857142857143,AUT,19957.22955,21856.74552,48608.47449,2.405760365603669,9.901346740131629,9.992264872330493,10.791553166909738
Belgium,2010,16.721818181818183,BEL,52035.0803,31844.731929999998,53241.37632,2.816714344676181,10.85967339126285,10.368627244808032,10.88259112341458
Belgium,2013,14.81,BEL,41949.29951,28659.66904,49794.109710000004,2.6953026282797072,10.644217013543779,10.263246153513672,10.815651977101579
Belgium,2014,12.1753125,BEL,39973.13056,27544.44244,50285.613939999996,2.499410335990382,10.59596277138036,10.223556067915782,10.825474310011566
Belgium,2015,12.627708333333333,BEL,41409.5333,27514.21,53625.99787,2.5358934736071324,10.63126640625152,10.222457877469825,10.889789264355555
Belgium,2016,12.4475,BEL,38812.03235,27406.385309999998,53068.31661,2.5215197995342007,10.566485589649945,10.218531305737388,10.879335355137952
Belgium,2017,12.10891304347826,BEL,39094.05384,27655.227619999998,51966.246790000005,2.4939417965983943,10.57372565870545,10.227570053094599,10.85834968661452
Belgium,2018,12.55177777777778,BEL,39003.2716,28182.62209,52335.05041,2.529862311145409,10.571400808772937,10.2464608290303,10.865421605506253
Belgium,2019,10.925531914893616,BEL,41626.75374000001,27842.146500000003,51891.73802,2.3911024276585544,10.636498358287113,10.234306212769308,10.85691486611576
Bulgaria,2010,23.8475,BGR,62521.591140000004,6285.74288,15873.17626,3.171679390037226,11.043267234307534,8.746039312925648,9.672385935901692
Bulgaria,2013,19.955714285714286,BGR,53856.96279,5230.58757,14778.67921,2.993515532684146,10.894086973947495,8.562278896828927,9.60094082718023
Bulgaria,2014,21.735714285714288,BGR,57403.49643,5130.0951000000005,16738.69099,3.078956727287667,10.957860493867145,8.542879476004684,9.725478144450713
Bulgaria,2015,23.966,BGR,59420.76713,5677.3818,18293.450969999998,3.1766361592603247,10.992399059232824,8.644245454740538,9.814298404286783
Bulgaria,2016,19.228,BGR,52621.62098,5778.22802,18497.22578,2.956367550031714,10.870882359516994,8.661852343729691,9.825376041983777
Bulgaria,2017,19.565714285714286,BGR,55194.66994,7160.95482,18774.40222,2.9737787633381187,10.91862166854509,8.87639860581234,9.840249636977656
Bulgaria,2018,19.584285714285716,BGR,46954.46099,8505.98179,19199.51511,2.9747274953924956,10.756933495884146,9.048524934969528,9.862640303009467
Bulgaria,2019,16.538571428571426,BGR,44979.27914,8174.3481,19511.907779999998,2.805695315162324,10.713957199151004,9.008756249466536,9.878780213562324
Croatia,2013,23.005,HRV,10499.6456,4730.67233,11339.2507,3.135711583607432,9.259096783195037,8.46182261303386,9.336025499260897
Croatia,2014,20.036666666666665,HRV,9507.57996,4611.5844400000005,11225.74465,2.9975639283829607,9.159844649969521,8.436326773253011,9.325965048940219
Croatia,2015,15.60625,HRV,9459.937969999999,4412.7293,11840.833150000002,2.747671475045946,9.154821104941973,8.392248665897032,9.379309273360976
Croatia,2016,17.274444444444445,HRV,9720.46521,4429.174959999999,12279.66253,2.84922820962543,9.181988757420289,8.39596860641684,9.415699720053158
Croatia,2017,15.549000000000001,HRV,8956.78072,4821.27742,13209.98785,2.743996327875679,9.100166146764334,8.480794196828018,9.488728477758189
Croatia,2018,15.6775,HRV,7844.54968,4791.71281,12748.28396,2.752226563435039,8.96757426135258,8.474643206864117,9.453151950155792
Croatia,2019,13.715,HRV,7791.20737,4805.57151,13102.407280000001,2.6184901243895666,8.96075111658555,8.477531255018295,9.480551254139167
Cyprus,2010,20.048,CYP,7748.39383,1336.8486899999998,4734.43889,2.9981293981537123,8.955240853126677,7.198070399418608,8.46261849595827
Cyprus,2013,15.957999999999998,CYP,5668.61031,1078.24503,3818.9571699999997,2.7699602708860893,8.642699271442956,6.983090026196671,8.247732672184885
Cyprus,2014,16.201999999999998,CYP,5890.14717,1356.72767,3685.01683,2.7851346914082993,8.681036262751133,7.212830954359574,8.212030371777187
Cyprus,2015,15.953999999999999,CYP,6055.6928,1188.92629,3810.3428400000003,2.7697095814889376,8.70875406727847,7.080805901497463,8.245474448324375
Cyprus,2016,11.506666666666668,CYP,6610.74666,1190.4268299999999,4046.4919600000003,2.4429265775471176,8.796451885619126,7.082067202467309,8.305605602031521
Cyprus,2017,13.724,CYP,6586.47315,1226.28416,4173.98769,2.6191461249962034,8.792773302141418,7.111743867780047,8.336627138423406
Cyprus,2018,12.941999999999998,CYP,6695.568719999999,1086.87504,4197.592,2.5604778366350742,8.809201201492838,6.991061921911307,8.342266306519724
