country,year,pm25,iso3,total_emissions_kt,ln_pm25,ln_total_emissions_kt
Denmark,2014,13.26,DNK,55518.81,2.5847519847577165,10.924477161233401
Denmark,2015,11.256666666666666,DNK,51719.93,2.4209605457293666,10.853598479443269
Denmark,2016,10.29,DNK,54873.11,2.331172549845958,10.912778707870897
Denmark,2017,9.406,DNK,52690.41,2.241347783522856,10.872188744535745
Denmark,2018,12.222,DNK,54547.11,2.5032376064727235,10.906820010939361
Denmark,2019,10.242,DNK,49931.69,2.3264969130403585,10.818411150308187
Estonia,2010,7.726666666666667,EST,15628.93,2.044677549243496,9.65687896297875
Estonia,2013,6.645714285714286,EST,19163.3,1.8939721785951504,9.86075227051477
Estonia,2014,7.508571428571429,EST,20780.63,2.016045225121042,9.941776581806739
Estonia,2015,6.362,EST,17188.67,1.8503427933269523,9.752005724819357
Estonia,2016,5.204285714285715,EST,19452.75,1.6494824619651591,9.875743727227034
Estonia,2017,4.55,EST,21165.77,1.5151272329628591,9.960140533110645
Estonia,2018,6.095714285714286,EST,22287.35,1.8075859481445953,10.011774531918798
Estonia,2019,4.5975,EST,15687.34,1.5255126774963392,9.66060929661894
Finland,2010,8.529166666666667,FIN,49529.48,2.143491662319298,10.810323326839507
Finland,2013,6.407692307692307,FIN,42427.87,1.8574991917112602,10.655560736606336
Finland,2014,7.609285714285714,FIN,37758.79,2.0293693060078475,10.538973575254476
Finland,2015,5.699285714285714,FIN,38309.68,1.740340853704931,10.553457884749342
Finland,2016,5.727142857142858,FIN,44419.57,1.7452167775991023,10.701435417077386
Finland,2017,4.5128571428571425,FIN,44007.42,1.5069304657586804,10.692113535046522
Finland,2018,6.016923076923077,FIN,54150.5,1.7945760118658314,10.89952248599685
Finland,2019,5.308333333333334,FIN,46009.78,1.6692779127901174,10.736609261568859
France,2010,17.74651515151515,FRA,470208.61,2.876189167154163,13.060931726277325
France,2014,9.02,FRA,415983.88,2.199444334074532,12.9384017884926
France,2015,12.745564516129033,FRA,423580.86,2.545183329991853,12.956499707552577
France,2016,11.573565217391305,FRA,432836.1,2.4487236369882375,12.97811441338716
France,2017,10.9672,FRA,446785.66,2.3949090001395534,13.009834250765085
France,2018,10.373615384615384,FRA,427214.36,2.3392656003060557,12.965041180295387
France,2019,9.418161764705882,FRA,421617.29,2.242639927794675,12.951853285804818
Germany,2010,17.34602409638554,DEU,929723.3,2.853363321422232,13.742642293977815
Germany,2013,14.110733944954127,DEU,917292.62,2.6469357804548266,13.729181806114898
Germany,2014,14.033461538461538,DEU,884395.14,2.6414445877358497,13.692659232699311
