iso3,country,ln_daly,ln_pm25,z,z_sq
AUT,Austria,8.038834757787749,2.607349593083341,0.14450468052487686,0.020881602693596724
AUT,Austria,8.038834757787749,2.405760365603669,-0.057084546954794924,0.0032586455010341865
BEL,Belgium,8.523374050491318,2.529862311145409,0.06701739858694511,0.004491331713361473
BEL,Belgium,8.523374050491318,2.3911024276585544,-0.07174248489990953,0.005146984139613747
BGR,Bulgaria,8.128880142125638,2.9747274953924956,0.5118825828340317,0.2620237786088393
BGR,Bulgaria,8.128880142125638,2.805695315162324,0.3428504026038599,0.11754639856562883
HRV,Croatia,7.610357618312838,2.752226563435039,0.28938165087657497,0.08374173986405192
HRV,Croatia,7.610357618312838,2.6184901243895666,0.1556452118311027,0.02422543196594883
CYP,Cyprus,6.854354502255021,2.5604778366350742,0.09763292407661028,0.009532187863749148
CYP,Cyprus,6.854354502255021,2.5668705876394307,0.10402567508096672,0.01082134107605086
CZE,Czechia,8.438799123988225,3.0158712533507592,0.5530263407922953,0.3058381336101159
CZE,Czechia,8.438799123988225,2.7268547384530284,0.26400982589456445,0.06970118816887824
DNK,Denmark,7.313220387090301,2.5032376064727235,0.04039269391425959,0.0016315697216510638
DNK,Denmark,7.313220387090301,2.3264969130403585,-0.1363479995181054,0.018590776972589266
EST,Estonia,4.07753744390572,1.8075859481445953,-0.6552589644138687,0.4293643104447356
EST,Estonia,4.07753744390572,1.5255126774963392,-0.9373322350621247,0.8785917188865582
FIN,Finland,5.111987788356544,1.7945760118658314,-0.6682689006926326,0.4465833236329396
FIN,Finland,5.111987788356544,1.6692779127901174,-0.7935669997683465,0.629748583121335
FRA,France,10.339966714173462,2.3392656003060557,-0.12357931225240826,0.015271846416778222
FRA,France,10.339966714173462,2.242639927794675,-0.22020498476378902,0.04849023531482056
DEU,Germany,9.947169453622251,2.532071154664775,0.06922624210631101,0.004792272596161587
DEU,Germany,9.947169453622251,2.338273935402553,-0.12457097715591114,0.015517928349578537
GRC,Greece,8.874168090363968,2.8094026953624973,0.3465577828040334,0.12010229682204757
GRC,Greece,8.874168090363968,2.8236382369154724,0.3607933243570085,0.13017182290058155
HUN,Hungary,8.411388132519262,2.9219960271734773,0.45915111461501334,0.21081974605220913
HUN,Hungary,8.411388132519262,2.694916714140813,0.23207180158234886,0.0538573210896771
IRL,Ireland,7.292337176173877,2.0632168808208156,-0.3996280317376484,0.1597025637505069
IRL,Ireland,7.292337176173877,2.1856190312159116,-0.2772258813425523,0.07685418928615491
ITA,Italy,10.01207286294957,2.727099555391712,0.2642546428332482,0.06983051625892756
ITA,Italy,10.01207286294957,2.6693370924293065,0.20649217987084256,0.0426390203478124
LVA,Latvia,6.695798917058491,2.6509859004805323,0.18814098792206835,0.035397031336291865
LVA,Latvia,6.695798917058491,2.4365913728417796,-0.026253539716684315,0.0006892483476555207
LTU,Lithuania,6.86171134048073,2.6153499458132896,0.15250503325482567,0.023257785168055486
LTU,Lithuania,6.86171134048073,2.5774858310810935,0.11464091852262959,0.013142540199712196
LUX,Luxembourg,5.049856007249537,2.24953587190423,-0.21330904065423395,0.04550074682482963
LUX,Luxembourg,5.049856007249537,2.077773484579139,-0.3850714279793248,0.14828000464603633
MLT,Malta,5.556828061699537,2.491654663974504,0.02880975141603992,0.0008300017766540141
MLT,Malta,5.556828061699537,2.468099531471619,0.005254618913155262,2.761101992248899e-05
NLD,Netherlands,8.789812386190972,2.5128966654928773,0.05005175293441333,0.002505177971807553
NLD,Netherlands,8.789812386190972,2.3897943670674224,-0.07305054549104151,0.005336382196538725
POL,Poland,10.572598155267832,3.14747434071554,0.6846294281570762,0.46871745389868513
POL,Poland,10.572598155267832,2.930381301255216,0.46753638869675207,0.21859027475560044
PRT,Portugal,7.826443135456014,2.0615038409931685,-0.4013410715652954,0.16107465572517957
PRT,Portugal,7.826443135456014,1.8789196446704555,-0.5839252678880085,0.34096871847808247
ROU,Romania,9.320539164274258,2.9052147572350737,0.4423698446766098,0.19569107947920786
ROU,Romania,9.320539164274258,2.7699289381480754,0.30708402558961145,0.09430059877232114
SVK,Slovakia,7.895436006942965,2.8968732113166467,0.4340282987581827,0.1883805641229223
SVK,Slovakia,7.895436006942965,2.7468909750411945,0.28404606248273057,0.08068216561194327
SVN,Slovenia,6.904750769961838,2.7322548897990275,0.2694099772405636,0.07258173583676099
SVN,Slovenia,6.904750769961838,2.5219214059653012,0.059076493406837294,0.0034900320732480904
ESP,Spain,9.486910939673246,2.1990150881100075,-0.2638298244484565,0.06960617626850336
ESP,Spain,9.486910939673246,2.19385009584619,-0.268994816712274,0.07235821141806988
SWE,Sweden,7.009408932708637,1.8828520130881763,-0.5799928994702876,0.3363917634359512
SWE,Sweden,7.009408932708637,1.726924607889767,-0.7359203046686968,0.5415786948236676
