iso3,country,ln_yll,ln_pm25,z,z_sq
AFG,Afghanistan,1.8229350866965048,4.785573236959415,1.8285982551220186,3.343771578635291
ALB,Albania,1.6074359097634274,3.067122269640664,0.11014728780326744,0.012132425010415827
ALB,Albania,1.6074359097634274,2.334083760053417,-0.6228912217839797,0.387993474175539
DZA,Algeria,-0.11653381625595151,3.0694473113762717,0.1124723295388752,0.01265002491190134
AUS,Australia,-1.7719568419318752,2.7204178499108718,-0.23655713192652472,0.055959276665303224
AUS,Australia,-1.7719568419318752,2.5330352194906935,-0.42393976234670294,0.17972492209857896
AUS,Australia,-1.7719568419318752,2.670694414558441,-0.28628056727895546,0.08195656320156054
AUS,Australia,-1.7719568419318752,2.296567020668483,-0.6604079611689135,0.4361386751752812
AUS,Australia,-0.21072103131565253,1.9235532419540369,-1.0334217398833596,1.0679604924635502
AUS,Australia,-0.21072103131565253,1.9851308622085946,-0.9718441196288019,0.944480992857081
AUS,Australia,-0.21072103131565253,2.086913556518537,-0.8700614253188594,0.7570068838278852
AUS,Australia,-0.21072103131565253,2.0088849482167017,-0.9480900336206948,0.8988747118508902
AUT,Austria,-2.3025850929940455,2.910025829892361,-0.04694915194503535,0.0022042228683580166
AUT,Austria,-2.3025850929940455,2.766455823971084,-0.19051915786631257,0.03629754951408893
AUT,Austria,-0.916290731874155,2.496811693179065,-0.46016328865833156,0.21175025222885097
AUT,Austria,-0.916290731874155,2.5317214622608755,-0.425253519576521,0.18084055591221854
AUT,Austria,-0.916290731874155,2.607349593083341,-0.3496253887540557,0.12223791246142457
AUT,Austria,-0.916290731874155,2.405760365603669,-0.5512146162337275,0.30383755314969546
BHS,Bahamas,1.1378330018213911,1.6544112780768316,-1.3025637037605649,1.6966722023544405
BHS,Bahamas,1.1378330018213911,1.4011829736136412,-1.5557920082237553,2.4204887728529054
BHS,Bahamas,3.015044584586364,1.1631508098056809,-1.7938241720317156,3.21780516016527
BHR,Bahrain,-0.21072103131565253,4.058674205753839,1.1016992239164423,1.2137411799780913
BHR,Bahrain,-0.5447271754416722,4.1067670822206574,1.149792100383261,1.3220218741037508
BHR,Bahrain,-0.5447271754416722,4.137404051682548,1.1804290698451516,1.39341278893549
BHR,Bahrain,-0.5447271754416722,3.7702289998102594,0.8132540179728629,0.6613820977490056
BGD,Bangladesh,-0.342490308946776,4.528828952731369,1.5718539708939727,2.47072490581515
BGD,Bangladesh,-0.342490308946776,4.619812462724961,1.6628374808875646,2.7650284878445017
BGD,Bangladesh,-0.342490308946776,4.614872961449477,1.65789797961208,2.748625710801817
BGD,Bangladesh,-0.342490308946776,4.333984628064774,1.377009646227377,1.8961555658032463
BGD,Bangladesh,-0.6539264674066639,4.211608944882751,1.2546339630453542,1.5741063812268914
BGD,Bangladesh,-0.6539264674066639,3.9170326583586283,0.9600576765212319,0.9217107422473463
BGD,Bangladesh,-0.6539264674066639,4.280737680061574,1.323762698224178,1.7523476812097558
BGD,Bangladesh,-0.6539264674066639,4.4599131733309525,1.502938191493556,2.258823207449921
BEL,Belgium,-2.5257286443082556,2.816714344676181,-0.1402606371612154,0.019673046336870118
BEL,Belgium,-2.5257286443082556,2.6953026282797072,-0.26167235355768925,0.06847242061642032
BEL,Belgium,-1.3470736479666092,2.5215197995342007,-0.4354551823031958,0.18962121579470947
BEL,Belgium,-1.3470736479666092,2.4939417965983943,-0.46303318523900217,0.21439973063257609
BEL,Belgium,-1.3470736479666092,2.529862311145409,-0.42711267069198744,0.1824252334656421
BEL,Belgium,-1.3470736479666092,2.3911024276585544,-0.5658725541788421,0.32021174757288656
BIH,Bosnia and Herzegovina,-1.3093333199837622,4.170842533194826,1.213867551357429,1.4734744322384807
BIH,Bosnia and Herzegovina,-0.941608539858445,3.765917652767174,0.8089426709297776,0.6543882448510024
BIH,Bosnia and Herzegovina,-0.941608539858445,3.8915651635257498,0.9345901816883533,0.8734588077082692
BIH,Bosnia and Herzegovina,-0.941608539858445,3.9085168660988585,0.951541884261462,0.9054319575038536
BIH,Bosnia and Herzegovina,-0.941608539858445,3.6624499172769562,0.7054749354395597,0.497694884533451
BRA,Brazil,0.3364722366212129,2.819989032120159,-0.13698594971723743,0.018765150419933502
BRA,Brazil,0.3364722366212129,2.750215293262889,-0.20675968857450755,0.04274956881942735
BRA,Brazil,0.3364722366212129,2.7283755675634556,-0.22859941427394093,0.052257692206388866
BRA,Brazil,0.3364722366212129,2.6504210882655737,-0.30655389357182283,0.09397528966404448
BRA,Brazil,0.3920420877760237,2.747270914255491,-0.2097040675819053,0.0439757959603963
BRA,Brazil,0.3920420877760237,2.722829338528798,-0.23414564330859866,0.05482418228039751
BRA,Brazil,0.3920420877760237,2.7363136663750693,-0.22066131546232715,0.04869141614156466
BGR,Bulgaria,-0.31471074483970024,3.171679390037226,0.21470440819982972,0.04609798290043911
BGR,Bulgaria,-0.31471074483970024,2.993515532684146,0.036540550846749564,0.0013352118561838903
BGR,Bulgaria,0.8153648132841944,2.956367550031714,-0.0006074318056823458,3.689733985545151e-07
BGR,Bulgaria,0.8153648132841944,2.9737787633381187,0.01680378150072226,0.0002823670727240156
BGR,Bulgaria,0.8153648132841944,2.9747274953924956,0.017752513555099103,0.0003151517375239774
BGR,Bulgaria,0.8153648132841944,2.805695315162324,-0.15127966667507264,0.022885537549321086
CMR,Cameroon,1.7119945007591924,4.4148164574968725,1.457841475659476,2.1253017681529984
CAN,Canada,-2.659260036932778,1.9293778440965907,-1.0275971377408057,1.0559558774930964
CAN,Canada,-1.2039728043259361,1.767695878171434,-1.1892791036659625,1.414384786416515
CAN,Canada,-1.2039728043259361,1.9144475199092332,-1.0425274619281633,1.0868635088743779
CAN,Canada,-1.2039728043259361,2.015426692925754,-0.9415482889116427,0.8865131803524421
CAN,Canada,-1.2039728043259361,1.7785475752558244,-1.178427406581572,1.3886911525825698
CHL,Chile,-1.8971199848858813,3.251853313365345,0.2948783315279484,0.08695323040470665
CHL,Chile,-1.8971199848858813,3.2666611553569935,0.30968617351959704,0.09590552606920996
CHL,Chile,-1.8971199848858813,3.223700530869883,0.2667255490324867,0.07114251850668146
CHL,Chile,-1.8971199848858813,3.4145637922048575,0.457588810367461,0.2093875193735082
CHL,Chile,-1.0216512475319814,3.2546602874387265,0.29768530560133,0.08861654117095723
CHL,Chile,-1.0216512475319814,2.70805020110221,-0.24892478073518642,0.06196354646406064
CHL,Chile,-1.0216512475319814,2.946002478880863,-0.010972502956533514,0.0001203958211311367
CHN,China,2.6864860231863696,4.3246181895787235,1.367643207741327,1.8704479436809864
CHN,China,2.6864860231863696,4.036044320273892,1.0790693384364958,1.1643906371537767
CHN,China,2.6864860231863696,4.3221439250725044,1.365168943235108,1.8636862435736614
CHN,China,2.247072383063787,3.8203737163784894,0.863398734541093,0.7454573748071607
CHN,China,2.247072383063787,3.798082240947006,0.8411072591096094,0.7074614213268796
CHN,China,2.247072383063787,3.6990490842372745,0.742074102399878,0.5506739734525846
CHN,China,2.247072383063787,3.650885621779354,0.6939106399419575,0.4815119762246569
COL,Colombia,-0.916290731874155,3.4759955917373415,0.519020609899945,0.2693823935009109
COL,Colombia,-0.916290731874155,3.1135153092103742,0.15654032737297774,0.024504874094039043
COL,Colombia,-0.916290731874155,3.2121868367174042,0.25521185488000775,0.06513309087129414
COL,Colombia,-0.916290731874155,3.106826321059578,0.1498513392221814,0.022455423866681284
COL,Colombia,1.5973653311998313,2.812710471645643,-0.14426451019175346,0.020812248900866536
COL,Colombia,1.5973653311998313,2.7219531062712017,-0.2350218755661948,0.055235281994651955
COL,Colombia,1.5973653311998313,2.846535967191864,-0.1104390146455323,0.012196775955876097
COL,Colombia,1.5973653311998313,2.8512265974442617,-0.10574838439313483,0.011182720801758202
CRI,Costa Rica,-1.8971199848858813,2.8903717578961645,-0.06660322394123197,0.004435989439365896
CRI,Costa Rica,0.7275486072772777,3.1135153092103742,0.15654032737297774,0.024504874094039043
CRI,Costa Rica,0.7275486072772777,2.0014800002101243,-0.9554949816272722,0.9129706599149012
HRV,Croatia,-1.3470736479666092,3.135711583607432,0.17873660177003536,0.03194677281230021
HRV,Croatia,-0.579818495252942,2.84922820962543,-0.10774677221196649,0.011609366922097394
HRV,Croatia,-0.579818495252942,2.743996327875679,-0.21297865396171733,0.04535990704334494
HRV,Croatia,-0.579818495252942,2.752226563435039,-0.20474841840235758,0.04192191483826688
HRV,Croatia,-0.579818495252942,2.6184901243895666,-0.33848485744782986,0.1145719987214777
CYP,Cyprus,-0.7985076962177716,2.9981293981537123,0.04115441631631578,0.0016936859823366384
CYP,Cyprus,-0.7985076962177716,2.7699602708860893,-0.18701471095130717,0.03497450211220097
CYP,Cyprus,-0.5621189181535413,2.4429265775471176,-0.5140484042902789,0.264245761953382
CYP,Cyprus,-0.5621189181535413,2.6191461249962034,-0.3378288568411931,0.11412833651462737
CYP,Cyprus,-0.5621189181535413,2.5604778366350742,-0.39649714520232227,0.1572099861535914
CYP,Cyprus,-0.5621189181535413,2.5668705876394307,-0.39010439419796583,0.15218143837256193
CZE,Czechia,-0.6348782724359695,3.1618115242465232,0.20483654240912674,0.04195800910612598
CZE,Czechia,-0.6348782724359695,3.0036074329254654,0.046632451088068905,0.002174585494481139
CZE,Czechia,0.9042181506398859,2.9158398813798994,-0.04113510045749713,0.0016920964896483808
CZE,Czechia,0.9042181506398859,2.931070667918757,-0.025904313918639676,0.0006710334795954293
CZE,Czechia,0.9042181506398859,3.0158712533507592,0.05889627151336274,0.0034687707981757433
CZE,Czechia,0.9042181506398859,2.7268547384530284,-0.2301202433843681,0.05295532641528081
DNK,Denmark,-1.2039728043259361,2.7138113515372817,-0.24316363030011479,0.059128551100730904
DNK,Denmark,-1.2039728043259361,2.403561010334048,-0.5534139715033484,0.3062670238551089
DNK,Denmark,-0.06187540371808753,2.331172549845958,-0.6258024319914384,0.3916286838863988
DNK,Denmark,-0.06187540371808753,2.241347783522856,-0.7156271983145404,0.5121222869675185
DNK,Denmark,-0.06187540371808753,2.5032376064727235,-0.45373737536467296,0.20587760580282213
DNK,Denmark,-0.06187540371808753,2.3264969130403585,-0.6304780687970379,0.3975025952340425
ECU,Ecuador,-0.7550225842780328,2.958549482426275,0.0015745005888785357,2.479052104378856e-06
ECU,Ecuador,-0.7550225842780328,2.8803214220426634,-0.0766535597947331,0.005875768229204722
ECU,Ecuador,-0.7550225842780328,2.9139797716817317,-0.042995210155664765,0.0018485880963297785
ECU,Ecuador,-0.7550225842780328,2.915064370486536,-0.04191061135086027,0.0017564993438028578
ECU,Ecuador,0.62057648772511,2.644044871126298,-0.31293011071109866,0.09792525418966047
ECU,Ecuador,0.62057648772511,2.6401281846167515,-0.316846797220645,0.10039189290898054
ECU,Ecuador,0.62057648772511,2.987700101856727,0.030725120019330365,0.0009440330002022556
SLV,El Salvador,-1.7719568419318752,3.392829131991639,0.43585415015424234,0.18996884020667681
SLV,El Salvador,-1.7719568419318752,3.505557396986398,0.5485824151490015,0.3009426662107115
SLV,El Salvador,-1.7719568419318752,3.7977338590260183,0.8407588771886219,0.7068754895714722
SLV,El Salvador,-1.7719568419318752,3.7819143200811256,0.8249393382437291,0.6805249117820017
SLV,El Salvador,-1.3862943611198906,3.299533727885655,0.34255874604825864,0.11734649449415535
SLV,El Salvador,-1.3862943611198906,3.367295829986474,0.41032084814907765,0.16836319842577843
EST,Estonia,-0.527632742082372,2.044677549243496,-0.9122974325939004,0.8322866055174223
EST,Estonia,-0.527632742082372,1.8939721785951504,-1.063002803242246,1.1299749597008732
EST,Estonia,-0.7985076962177716,1.6494824619651591,-1.3074925198722374,1.709536689521853
EST,Estonia,-0.7985076962177716,1.5151272329628591,-1.4418477488745374,2.078924930934571
EST,Estonia,-0.7985076962177716,1.8075859481445953,-1.1493890336928012,1.3210951507732713
EST,Estonia,-0.7985076962177716,1.5255126774963392,-1.4314623043410573,2.0490843287494096
ETH,Ethiopia,1.7439688053917064,3.342861804649192,0.3858868228117953,0.1489086400197819
ETH,Ethiopia,1.7439688053917064,3.3046864812813115,0.347711499443915,0.1209032868455357
ETH,Ethiopia,1.7439688053917064,3.3600281046240843,0.4030531227866878,0.16245181978810083
ETH,Ethiopia,1.7439688053917064,3.019448800171307,0.062473818333910636,0.0039029779772184687
FIN,Finland,-1.6607312068216509,2.143491662319298,-0.8134833195180984,0.6617551111341845
FIN,Finland,-1.6607312068216509,1.8574991917112602,-1.0994757901261363,1.2088470130734916
FIN,Finland,-0.4155154439616658,1.7452167775991023,-1.2117582042382942,1.4683579455388154
FIN,Finland,-0.4155154439616658,1.5069304657586804,-1.450044516078716,2.102629098609958
FIN,Finland,-0.4155154439616658,1.7945760118658314,-1.162398969971565,1.3511713653909556
FIN,Finland,-0.4155154439616658,1.6692779127901174,-1.287697069047279,1.658163741632953
FRA,France,-3.2188758248682006,2.876189167154163,-0.08078581468323343,0.0065263478540337335
FRA,France,-2.0402208285265546,2.4487236369882375,-0.508251344849159,0.25831942954097875
FRA,France,-2.0402208285265546,2.3949090001395534,-0.562065981697843,0.31591816778196
FRA,France,-2.0402208285265546,2.3392656003060557,-0.6177093815313408,0.3815648800318316
FRA,France,-2.0402208285265546,2.242639927794675,-0.7143350540427216,0.510274569434218
GEO,Georgia,0.9400072584914712,2.995732273553991,0.038757291716594366,0.0015021276612051943
DEU,Germany,-2.659260036932778,2.853363321422232,-0.10361166041516467,0.010735376173987402
DEU,Germany,-2.659260036932778,2.6469357804548266,-0.3100392013825699,0.09612430639394173
DEU,Germany,-1.2729656758128873,2.5013154044543926,-0.4556595773830039,0.2076256504608577
DEU,Germany,-1.2729656758128873,2.491414165534979,-0.46556081630241763,0.21674687367617346
DEU,Germany,-1.2729656758128873,2.532071154664775,-0.42490382717262154,0.18054326234594104
DEU,Germany,-1.2729656758128873,2.338273935402553,-0.6187010464348437,0.38279098485957064
GHA,Ghana,1.1118575154181303,4.007333185232471,1.0503582033950747,1.103252355439329
GRC,Greece,-2.659260036932778,2.698673039289613,-0.25830194254778327,0.06671989352395832
GRC,Greece,-2.659260036932778,2.3045830956567186,-0.6523918861806779,0.4256151731543826
GRC,Greece,-1.5606477482646683,2.836233987400137,-0.12074099443725927,0.014578387737698276
GRC,Greece,-1.5606477482646683,2.8008572506884164,-0.1561177311489801,0.02437274597910523
GRC,Greece,-1.5606477482646683,2.8094026953624973,-0.14757228647489917,0.02177757973542971
GRC,Greece,-1.5606477482646683,2.8236382369154724,-0.13333674492192404,0.01777868754637424
GTM,Guatemala,-0.9675840262617056,3.7106409458954492,0.7536659640580528,0.568012385379554
GTM,Guatemala,1.4609379041156563,2.6390573296152584,-0.3179176522221381,0.10107163359443634
HND,Honduras,0.7514160886839212,3.58351893845611,0.6265439566187134,0.39255732957543227
HUN,Hungary,-0.2231435513142097,3.0746589741077917,0.11768399227039517,0.013849522036698429
HUN,Hungary,-0.2231435513142097,2.834584951991443,-0.12239002984595349,0.014979319405693385
HUN,Hungary,1.2725655957915476,2.315501318260592,-0.6414736635768046,0.41148846106264747
HUN,Hungary,1.2725655957915476,2.6979998652487085,-0.258975116588688,0.06706811101212454
HUN,Hungary,1.2725655957915476,2.9219960271734773,-0.034978954663919204,0.001223527269380515
HUN,Hungary,1.2725655957915476,2.694916714140813,-0.2620582676965837,0.06867453566813432
ISL,Iceland,-2.659260036932778,2.0457554840250296,-0.9112194978123669,0.8303209731934221
ISL,Iceland,-1.3093333199837622,1.9013609791431358,-1.0556140026942606,1.1143209226841986
ISL,Iceland,-1.3093333199837622,1.6486586255873816,-1.3083163562500149,1.7116916880313158
ISL,Iceland,-1.3093333199837622,1.466337068793427,-1.4906379130439695,2.222001387804081
ISL,Iceland,-1.3093333199837622,1.3832898520995918,-1.5736851297378047,2.4764848875578913
IND,India,-0.6539264674066639,3.6734145968559346,0.7164396150185381,0.5132857219679111
IND,India,-0.6539264674066639,3.671487145470951,0.7145121636335543,0.510527631980303
IND,India,-0.6539264674066639,3.756612182360303,0.7996372005229064,0.6394196524601109
IND,India,-0.6539264674066639,3.6796361081365405,0.722661126299144,0.5222391034639474
IDN,Indonesia,2.21046980408624,2.833213344056216,-0.12376163778118032,0.01531694298628008
IDN,Indonesia,1.8656293177945105,3.753027273937688,0.7960522921002915,0.6336992517581278
IDN,Indonesia,1.8656293177945105,3.4031953843248286,0.4462204024874321,0.1991126475960459
IDN,Indonesia,1.8656293177945105,3.71965111278069,0.7626761309432935,0.5816748807106317
IDN,Indonesia,1.8656293177945105,3.836221292011864,0.8792463101744676,0.7730740739554162
Iran (Islamic Republic of),Iran (Islamic Republic of),1.4539530095937054,3.8766030601968855,0.919628078359489,0.8457158025071665
Iran (Islamic Republic of),Iran (Islamic Republic of),1.4539530095937054,3.58624669622135,0.6292717143839535,0.3959828905237199
Iran (Islamic Republic of),Iran (Islamic Republic of),1.4539530095937054,3.8027660194911963,0.8457910376537998,0.7153624793754915
Iran (Islamic Republic of),Iran (Islamic Republic of),0.7030975114131134,3.4620448888545177,0.5050699070171212,0.25509561097428346
Iran (Islamic Republic of),Iran (Islamic Republic of),0.7030975114131134,3.6099038851785954,0.6529289033411989,0.4263161528183407
Iran (Islamic Republic of),Iran (Islamic Republic of),0.7030975114131134,3.3997060741372285,0.442731092299832,0.19601082008900234
Iran (Islamic Republic of),Iran (Islamic Republic of),0.7030975114131134,3.17415038848847,0.21717540665107338,0.047165157254059085
Iran (Islamic Republic of),Iran (Islamic Republic of),3.4704124506836282,3.2979087921562247,0.3409338103188282,0.11623586301851471
IRQ,Iraq,-0.030459207484708574,3.7690759961082128,0.8121010142708163,0.6595080573796885
IRL,Ireland,-2.120263536200091,2.4388627112865935,-0.518112270550803,0.2684403248953085
IRL,Ireland,-2.120263536200091,2.3865585267702243,-0.5704164550671722,0.3253749322113993
IRL,Ireland,-1.3862943611198906,2.1822989271195437,-0.7746760547178528,0.6001229897532178
IRL,Ireland,-1.3862943611198906,1.9923652275168984,-0.9646097543204981,0.9304719781302517
IRL,Ireland,-1.3862943611198906,2.0632168808208156,-0.8937581010165809,0.7988035431327649
IRL,Ireland,-1.3862943611198906,2.1856190312159116,-0.7713559506214849,0.5949900025591747
ISR,Israel,-2.4079456086518722,3.0543486883213227,0.09737370648392618,0.009481638714417808
ISR,Israel,-2.4079456086518722,3.0991197914996755,0.14214480966227905,0.02020514691392554
ITA,Italy,-2.995732273553991,3.000128478422106,0.04315349658470957,0.0018622242674865407
ITA,Italy,-2.995732273553991,2.9052482070853887,-0.05172677475200782,0.0026756592262449537
ITA,Italy,-2.8134107167600364,2.795652906490709,-0.1613220753466873,0.026024811994162254
ITA,Italy,-2.8134107167600364,2.8441292934492464,-0.11284568838815012,0.01273414938779548
ITA,Italy,-2.8134107167600364,2.727099555391712,-0.22987542644568437,0.052842711683585245
ITA,Italy,-2.8134107167600364,2.6693370924293065,-0.28763788940809,0.08273555542314061
JPN,Japan,-0.5978370007556204,2.3648889763302003,-0.5920860055071961,0.3505658379174675
