,Coefficient,Std_Error,t_Stat,P_value,Lower_95%,Upper_95%
const,2.024491405664706,1.2785051180213087,1.583483223593137,0.1193750294034419,-0.5410168046677692,4.589999615997181
ln_pm25,2.3502370701041526,0.5133589589247198,4.578155361361477,2.954879836910241e-05,1.3201069553280693,3.380367184880236
