iso3,country,ln_yll,ln_pm25
AFG,Afghanistan,1.8229350866965048,4.785573236959415
ALB,Albania,1.6074359097634274,3.067122269640664
ALB,Albania,1.6074359097634274,2.334083760053417
DZA,Algeria,-0.11653381625595151,3.0694473113762717
AUS,Australia,-1.7719568419318752,2.7204178499108718
AUS,Australia,-1.7719568419318752,2.5330352194906935
AUS,Australia,-1.7719568419318752,2.670694414558441
AUS,Australia,-1.7719568419318752,2.296567020668483
AUS,Australia,-0.21072103131565253,1.9235532419540369
AUS,Australia,-0.21072103131565253,1.9851308622085946
AUS,Australia,-0.21072103131565253,2.086913556518537
AUS,Australia,-0.21072103131565253,2.0088849482167017
AUT,Austria,-2.3025850929940455,2.910025829892361
AUT,Austria,-2.3025850929940455,2.766455823971084
AUT,Austria,-0.916290731874155,2.496811693179065
AUT,Austria,-0.916290731874155,2.5317214622608755
AUT,Austria,-0.916290731874155,2.607349593083341
AUT,Austria,-0.916290731874155,2.405760365603669
BHS,Bahamas,1.1378330018213911,1.6544112780768316
BHS,Bahamas,1.1378330018213911,1.4011829736136412
BHS,Bahamas,3.015044584586364,1.1631508098056809
BHR,Bahrain,-0.21072103131565253,4.058674205753839
BHR,Bahrain,-0.5447271754416722,4.1067670822206574
BHR,Bahrain,-0.5447271754416722,4.137404051682548
BHR,Bahrain,-0.5447271754416722,3.7702289998102594
BGD,Bangladesh,-0.342490308946776,4.528828952731369
BGD,Bangladesh,-0.342490308946776,4.619812462724961
BGD,Bangladesh,-0.342490308946776,4.614872961449477
BGD,Bangladesh,-0.342490308946776,4.333984628064774
BGD,Bangladesh,-0.6539264674066639,4.211608944882751
BGD,Bangladesh,-0.6539264674066639,3.9170326583586283
BGD,Bangladesh,-0.6539264674066639,4.280737680061574
BGD,Bangladesh,-0.6539264674066639,4.4599131733309525
BEL,Belgium,-2.5257286443082556,2.816714344676181
BEL,Belgium,-2.5257286443082556,2.6953026282797072
BEL,Belgium,-1.3470736479666092,2.5215197995342007
BEL,Belgium,-1.3470736479666092,2.4939417965983943
BEL,Belgium,-1.3470736479666092,2.529862311145409
BEL,Belgium,-1.3470736479666092,2.3911024276585544
BIH,Bosnia and Herzegovina,-1.3093333199837622,4.170842533194826
BIH,Bosnia and Herzegovina,-0.941608539858445,3.765917652767174
BIH,Bosnia and Herzegovina,-0.941608539858445,3.8915651635257498
BIH,Bosnia and Herzegovina,-0.941608539858445,3.9085168660988585
BIH,Bosnia and Herzegovina,-0.941608539858445,3.6624499172769562
BRA,Brazil,0.3364722366212129,2.819989032120159
BRA,Brazil,0.3364722366212129,2.750215293262889
BRA,Brazil,0.3364722366212129,2.7283755675634556
BRA,Brazil,0.3364722366212129,2.6504210882655737
BRA,Brazil,0.3920420877760237,2.747270914255491
BRA,Brazil,0.3920420877760237,2.722829338528798
BRA,Brazil,0.3920420877760237,2.7363136663750693
BGR,Bulgaria,-0.31471074483970024,3.171679390037226
BGR,Bulgaria,-0.31471074483970024,2.993515532684146
BGR,Bulgaria,0.8153648132841944,2.956367550031714
BGR,Bulgaria,0.8153648132841944,2.9737787633381187
BGR,Bulgaria,0.8153648132841944,2.9747274953924956
BGR,Bulgaria,0.8153648132841944,2.805695315162324
CMR,Cameroon,1.7119945007591924,4.4148164574968725
CAN,Canada,-2.659260036932778,1.9293778440965907
CAN,Canada,-1.2039728043259361,1.767695878171434
CAN,Canada,-1.2039728043259361,1.9144475199092332
CAN,Canada,-1.2039728043259361,2.015426692925754
CAN,Canada,-1.2039728043259361,1.7785475752558244
CHL,Chile,-1.8971199848858813,3.251853313365345
CHL,Chile,-1.8971199848858813,3.2666611553569935
CHL,Chile,-1.8971199848858813,3.223700530869883
CHL,Chile,-1.8971199848858813,3.4145637922048575
CHL,Chile,-1.0216512475319814,3.2546602874387265
CHL,Chile,-1.0216512475319814,2.70805020110221
CHL,Chile,-1.0216512475319814,2.946002478880863
CHN,China,2.6864860231863696,4.3246181895787235
CHN,China,2.6864860231863696,4.036044320273892
CHN,China,2.6864860231863696,4.3221439250725044
CHN,China,2.247072383063787,3.8203737163784894
CHN,China,2.247072383063787,3.798082240947006
CHN,China,2.247072383063787,3.6990490842372745
CHN,China,2.247072383063787,3.650885621779354
COL,Colombia,-0.916290731874155,3.4759955917373415
COL,Colombia,-0.916290731874155,3.1135153092103742
COL,Colombia,-0.916290731874155,3.2121868367174042
COL,Colombia,-0.916290731874155,3.106826321059578
COL,Colombia,1.5973653311998313,2.812710471645643
COL,Colombia,1.5973653311998313,2.7219531062712017
COL,Colombia,1.5973653311998313,2.846535967191864
COL,Colombia,1.5973653311998313,2.8512265974442617
CRI,Costa Rica,-1.8971199848858813,2.8903717578961645
CRI,Costa Rica,0.7275486072772777,3.1135153092103742
CRI,Costa Rica,0.7275486072772777,2.0014800002101243
HRV,Croatia,-1.3470736479666092,3.135711583607432
HRV,Croatia,-0.579818495252942,2.84922820962543
HRV,Croatia,-0.579818495252942,2.743996327875679
HRV,Croatia,-0.579818495252942,2.752226563435039
HRV,Croatia,-0.579818495252942,2.6184901243895666
CYP,Cyprus,-0.7985076962177716,2.9981293981537123
CYP,Cyprus,-0.7985076962177716,2.7699602708860893
CYP,Cyprus,-0.5621189181535413,2.4429265775471176
CYP,Cyprus,-0.5621189181535413,2.6191461249962034
CYP,Cyprus,-0.5621189181535413,2.5604778366350742
CYP,Cyprus,-0.5621189181535413,2.5668705876394307
CZE,Czechia,-0.6348782724359695,3.1618115242465232
CZE,Czechia,-0.6348782724359695,3.0036074329254654
CZE,Czechia,0.9042181506398859,2.9158398813798994
CZE,Czechia,0.9042181506398859,2.931070667918757
CZE,Czechia,0.9042181506398859,3.0158712533507592
CZE,Czechia,0.9042181506398859,2.7268547384530284
