Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Germany,"1,287,200.40","1,287,200.40","1,180,108.96","1,122,249.44","1,111,968.11","1,098,476.82","1,097,542.31","1,121,151.08","1,086,218.40","1,061,504.03","1,023,116.40","1,040,040.66","1,045,221.22","1,055,511.26","1,046,729.51","1,022,360.50","992,819.45","992,776.17","968,829.65","963,535.59","888,193.22","929,723.30","898,693.09","895,880.96","917,292.62","884,395.14","885,486.29","884,832.40","870,877.59","838,514.26","787,811.41","735,119.52","764,356.41",-40.62%
Greece,"101,738.10","101,738.10","101,633.54","102,717.26","101,774.30","104,671.31","106,540.24","110,191.29","115,306.46","120,766.21","120,286.11","124,139.63","125,104.65","124,757.67","128,857.44","129,521.32","133,219.64","129,680.31","133,579.12","129,162.00","121,836.76","115,767.71","112,680.37","109,382.01","101,240.12","99,229.87","91,712.31","88,202.62","92,000.00","87,912.01","80,752.83","70,048.59","72,012.60",-29.22%
Hungary,"107,975.41","91,623.49","86,158.34","75,764.97","74,098.89","72,338.32","71,287.13","77,117.56","75,158.05","73,567.18","76,244.08","74,278.93","74,417.16","73,414.88","73,933.25","73,724.84","70,956.85","71,613.62","69,621.96","65,888.13","61,308.75","61,701.81","60,689.22","56,792.63","54,588.35","53,890.69","56,513.40","58,134.73","59,707.64","60,222.04","59,383.73","55,855.77","57,020.46",-47.19%
Iceland,"13,291.65","13,291.65","13,093.23","13,018.60","13,099.09","13,022.39","13,141.85","13,199.99","13,356.68","13,492.19","13,716.31","13,758.04","13,666.20","13,777.74","13,740.31","13,845.75","13,694.68","14,317.71","14,526.33","14,950.39","14,634.43","14,502.59","14,261.66","14,250.00","14,244.18","14,216.59","14,278.56","14,191.99","14,235.97","14,280.12","14,134.23","13,941.84","14,060.07",5.78%
Ireland,"61,652.28","61,652.28","62,367.35","62,158.03","62,858.70","64,332.37","66,782.83","68,600.94","69,505.54","71,924.93","73,247.44","77,038.02","80,232.30","78,275.29","79,242.35","76,961.43","79,222.49","78,634.34","76,434.29","75,441.55","69,085.02","70,087.95","65,029.05","65,426.14","66,001.27","65,047.68","67,983.44","69,041.82","70,863.39","69,998.09","67,822.11","66,098.75","69,448.12",12.64%
Italy,"517,991.61","517,991.61","503,760.80","505,039.60","511,059.60","492,228.34","511,734.18","504,950.87","521,072.05","536,008.62","531,850.92","538,424.00","530,039.93","531,633.10","559,110.08","558,433.11","558,639.99","547,687.60","565,389.23","534,327.06","476,313.99","481,781.11","476,476.16","467,036.00","415,242.38","393,484.62","401,771.67","399,801.31","414,043.41","388,460.25","380,439.16","352,425.15","390,118.28",-24.69%
Japan,"1,206,061.85","1,206,061.85","1,211,718.46","1,219,843.45","1,212,355.71","1,273,580.42","1,295,257.77","1,304,484.98","1,295,530.75","1,246,554.43","1,270,684.85","1,289,217.89","1,262,827.36","1,285,107.85","1,280,413.32","1,275,208.22","1,288,622.63","1,272,113.02","1,311,399.24","1,248,395.59","1,179,536.17","1,229,192.80","1,281,621.09","1,321,698.39","1,340,696.67","1,294,776.55","1,261,703.75","1,247,860.93","1,230,488.17","1,186,906.06","1,157,042.48","1,093,338.59","1,116,399.87",-7.43%
Kazakhstan,"380,186.58","380,186.58","368,300.25","345,524.71","312,636.53","277,759.58","278,393.85","271,328.70","287,263.40","295,259.06","265,270.67","303,144.90","304,394.30","323,618.93","346,736.40","356,054.76","370,625.00","398,011.91","388,643.30","378,435.69","365,392.76","381,414.87","355,241.10","346,189.43","340,001.79","361,651.31","367,697.33","365,833.11","391,863.58","404,504.77","367,057.50","342,098.12","340,837.72",-10.35%
Latvia,"13,632.62","13,632.62","11,322.07","6,163.19","2,829.46","-2,017.51","-2,248.43","-2,365.19","-1,155.31",-709.75,"2,181.59","-1,683.34","-1,602.21",81.40,688.77,"4,343.52","5,055.86","4,743.94","5,616.03","4,769.36","6,979.91","9,828.95","8,637.24","7,095.56","8,299.43","12,116.74","10,903.67","9,081.94","7,666.45","10,658.02","8,838.97","11,284.64","13,119.74",-3.76%
Liechtenstein,237.18,237.18,229.08,240.05,243.84,249.29,239.71,233.79,257.63,260.91,256.73,272.73,249.46,256.73,270.83,273.24,273.87,282.30,262.14,283.92,266.19,249.79,240.62,250.11,248.82,217.69,210.80,198.69,205.59,204.05,200.68,185.67,184.19,-22.34%
